Geo_ID;Area Name;Area Type;Year;Variable;Value
37119;Mecklenburg County;County;2003;Primary Highway Mileage;296.15
37119;Mecklenburg County;County;2002;Secondary Highway Mileage;736.48
37119;Mecklenburg County;County;1999;Persons Injured in Traffic Accidents;18261.0
37119;Mecklenburg County;County;1983;Unpaved Highway Mileage;90.84
37119;Mecklenburg County;County;1995;Paved Highway Mileage;1027.4
37119;Mecklenburg County;County;1995;Primary Highway Mileage;264.43
37119;Mecklenburg County;County;1995;Auto and Truck Registrations;435886.0
37119;Mecklenburg County;County;1994;Primary Highway Mileage;258.73
37119;Mecklenburg County;County;1982;Persons Injured in Traffic Accidents;9606.0
37119;Mecklenburg County;County;1993;Traffic Accident Fatalities;64.0
37119;Mecklenburg County;County;1981;Paved Highway Mileage;1041.94
37119;Mecklenburg County;County;1981;Secondary Highway Mileage;881.88
37119;Mecklenburg County;County;1992;Persons Injured in Traffic Accidents;13848.0
37119;Mecklenburg County;County;1991;Secondary Highway Mileage;847.98
37119;Mecklenburg County;County;1991;Traffic Accident Fatalities;68.0
37119;Mecklenburg County;County;1977;Traffic Accidents;12921.0
37119;Mecklenburg County;County;1977;Auto and Truck Registrations;258320.0
37119;Mecklenburg County;County;1990;Traffic Accident Fatalities;73.0
37119;Mecklenburg County;County;1989;Unpaved Highway Mileage;73.83
37119;Mecklenburg County;County;1989;Persons Injured in Traffic Accidents;14110.0
37119;Mecklenburg County;County;1970;Auto and Truck Registrations;187978.0
37119;Mecklenburg County;County;1988;Persons Injured in Traffic Accidents;12519.0
37119;Mecklenburg County;County;1988;Traffic Accidents;20548.0
37119;Mecklenburg County;County;1998;Primary Highway Mileage;273.92
37119;Mecklenburg County;County;1998;Persons Injured in Traffic Accidents;17826.0
37119;Mecklenburg County;County;1998;Auto and Truck Registrations;469333.0
37119;Mecklenburg County;County;1986;Secondary Highway Mileage;868.81
37119;Mecklenburg County;County;1986;Traffic Accidents;18044.0
37119;Mecklenburg County;County;1999;Unpaved Highway Mileage;24.48
37119;Mecklenburg County;County;2017;Unpaved Highway Mileage;13.42
37119;Mecklenburg County;County;2023;Persons Injured in Traffic Accidents;10596.0
37119;Mecklenburg County;County;2022;Alcohol Related Accidents;1035.0
37119;Mecklenburg County;County;2022;Bicyclists Injured;91.0
37119;Mecklenburg County;County;2021;Persons Injured in Traffic Accidents;10462.0
37119;Mecklenburg County;County;2021;Motorcyclist Fatalities;17.0
37119;Mecklenburg County;County;2019;Paved Highway Mileage;973.51
37119;Mecklenburg County;County;2016;Vehicles Inspected;757978.0
37119;Mecklenburg County;County;2014;Vehicles Inspected;724171.0
37119;Mecklenburg County;County;2016;Accidents Caused by Exceeding Legal Speed;1573.0
37119;Mecklenburg County;County;2017;Motorcyclists Injured;252.0
37119;Mecklenburg County;County;2017;Bicyclist Fatalities;5.0
37119;Mecklenburg County;County;2017;Accidents Caused by Exceeding Legal Speed;1591.0
37119;Mecklenburg County;County;2014;Motorcyclist Fatalities;14.0
37119;Mecklenburg County;County;2014;Bicyclists Injured;4.0
37119;Mecklenburg County;County;2013;School Bus Average Mileage;19245.0
37119;Mecklenburg County;County;2015;School Bus Accidents;167.0
37119;Mecklenburg County;County;2011;Accidents Caused by Exceeding Legal Speed;1257.0
37119;Mecklenburg County;County;2013;Bicyclists Injured;4.0
37119;Mecklenburg County;County;2007;Accidents Caused by Exceeding Legal Speed;1518.0
37119;Mecklenburg County;County;2009;Motorcyclists Injured;230.0
37119;Mecklenburg County;County;2010;School Bus Accidents;142.0
37119;Mecklenburg County;County;2005;Accidents Caused by Exceeding Legal Speed;1869.0
37119;Mecklenburg County;County;2004;School Bus Average Mileage;125034.0
37119;Mecklenburg County;County;2004;Alcohol Related Accidents;1074.0
37119;Mecklenburg County;County;2004;Accidents Caused by Exceeding Legal Speed;2025.0
37119;Mecklenburg County;County;2001;Accidents Caused by Exceeding Legal Speed;1798.0
37119;Mecklenburg County;County;1994;Accidents Caused by Exceeding Legal Speed;2014.0
37119;Mecklenburg County;County;2004;School Bus Accidents;243.0
37119;Mecklenburg County;County;2002;Motorcyclists Injured;176.0
37119;Mecklenburg County;County;2002;Alcohol Related Accidents;1156.0
37119;Mecklenburg County;County;2002;School Bus Accidents;229.0
37119;Mecklenburg County;County;2002;Vehicles Inspected;486742.0
37119;Mecklenburg County;County;1999;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;1983;School Bus Average Mileage;36778.0
37119;Mecklenburg County;County;1983;Bicyclist Fatalities;2.0
37119;Mecklenburg County;County;1983;Alcohol Related Accidents;1043.0
37119;Mecklenburg County;County;1983;Bicyclists Injured;111.0
37119;Mecklenburg County;County;1982;Motorcyclist Fatalities;6.0
37119;Mecklenburg County;County;1993;Vehicles Inspected;490289.0
37119;Mecklenburg County;County;1981;Motorcyclists Injured;180.0
37119;Mecklenburg County;County;1991;Motorcyclists Injured;134.0
37119;Mecklenburg County;County;1991;School Bus Accidents;94.0
37119;Mecklenburg County;County;1989;Motorcyclists Injured;108.0
37119;Mecklenburg County;County;1989;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;1989;Bicyclists Injured;52.0
37119;Mecklenburg County;County;1989;Vehicles Inspected;588731.0
37119;Mecklenburg County;County;1988;School Bus Average Mileage;42782.0
37119;Mecklenburg County;County;1987;Alcohol Related Accidents;927.0
37119;Mecklenburg County;County;1997;School Bus Average Mileage;75980.0
37119;Mecklenburg County;County;1997;Motorcyclists Injured;169.0
37119;Mecklenburg County;County;1996;Alcohol Related Accidents;825.0
37119;Mecklenburg County;County;1985;Alcohol Related Accidents;1027.0
37119;Mecklenburg County;County;1985;Bicyclists Injured;55.0
37119;Mecklenburg County;County;1984;Motorcyclists Injured;219.0
37119;Mecklenburg County;County;1984;Accidents Caused by Exceeding Legal Speed;2253.0
37119;Mecklenburg County;County;2000;Alcohol Related Accidents;1401.0
37119;Mecklenburg County;County;2015;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2015;Alcohol Related Accidents;1221.0
37119;Mecklenburg County;County;2016;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2016;Bicyclists Injured;79.0
37119;Mecklenburg County;County;2017;School Bus Average Mileage;17985.0
37119;Mecklenburg County;County;2015;Accidents Caused by Exceeding Legal Speed;1818.0
37119;Mecklenburg County;County;2022;Bicyclist Fatalities;0.0
37119;Mecklenburg County;County;2011;School Bus Average Mileage;18968.0
37119;Mecklenburg County;County;2009;School Bus Average Mileage;18958.0
